"","[","objectid","fod_id","fpa_id","source_system_type","source_system","nwcg_reporting_agency","nwcg_reporting_unit_id","nwcg_reporting_unit_name","source_reporting_unit","source_reporting_unit_name","local_fire_report_id","local_incident_id","fire_code","fire_name","ics_209_incident_number","ics_209_name","mtbs_id","mtbs_fire_name","complex_name","fire_year","discovery_date","discovery_doy","discovery_time","stat_cause_code","stat_cause_descr","cont_date","cont_doy","cont_time","fire_size","fire_size_class","latitude","longitude","owner_code","owner_descr","state","county","fips_code","fips_name","cause","date","plot_date","duration_days"
"1",NA,"17","17","FS-1418878","FED","FS-FIRESTAT","FS","USCAENF","Eldorado National Forest","0503","Eldorado National Forest","109","23",NA,"POWER","CA-ENF-017646","POWER","CA3850212028020041006","POWER",NA,"2004",2004-10-06,"280","1415",2,"Equipment Use",2004-10-21,295,1000,16823,"G",38.52333333,-120.21166667,"5","USFS","CA","5","5","Amador","Human",2004-10-06,2017-10-06,15
"2",NA,"18","18","FS-1418881","FED","FS-FIRESTAT","FS","USCAENF","Eldorado National Forest","0503","Eldorado National Forest","111","35","BHA3","FREDS","CA-ENF-18044","FREDS","CA3878712031820041013","FREDS",NA,"2004",2004-10-13,"287","1618",2,"Equipment Use",2004-10-17,291,1800,7700,"G",38.78,-120.26,"5","USFS","CA","17","17","El Dorado","Human",2004-10-13,2017-10-13,4
"3",NA,"549","556","FS-1420078","FED","FS-FIRESTAT","FS","USCASQF","Sequoia National Forest","0513","Sequoia National Forest","23","05","BZS6","NINE","CA-SQF-1857","NINE","CA3569311842220050709","NINE",NA,"2005",2005-07-09,"190","1313",9,"Miscellaneous",2005-07-10,191,1800,1149,"F",35.68805556,-118.43833333,"5","USFS","CA",NA,NA,NA,"Human",2005-07-09,2017-07-09,1
"4",NA,"3852","3871","FS-1426780","FED","FS-FIRESTAT","FS","USCATNF","Tahoe National Forest","0517","Tahoe National Forest","38","13","B41Y","HARDING","CA-TNF-001215","HARDING","CA3963512032120050824","HARDING",NA,"2005",2005-08-24,"236","1458",9,"Miscellaneous",2005-09-09,252,1300,2270,"F",39.61222222,-120.35166667,"5","USFS","CA",NA,NA,NA,"Human",2005-08-24,2017-08-24,16
"5",NA,"4523","4545","FS-1427790","FED","FS-FIRESTAT","FS","USCAKNF","Klamath National Forest","0505","Klamath National Forest","62","16","B6Z0","WOOLEY","CA-KNF-004452","WOOLEY","CA4148912327020050920","WOOLEY",NA,"2005",2005-09-21,"264","1745",9,"Miscellaneous",2005-09-21,264,1900,3225,"F",41.49972222,-123.27638889,"5","USFS","CA",NA,NA,NA,"Human",2005-09-21,2017-09-21,0
"6",NA,"4923","4945","FS-1428480","FED","FS-FIRESTAT","FS","USCASQF","Sequoia National Forest","0513","Sequoia National Forest","31","09","BE0P","CRAG","CA-SQF-2156","CRAG","CA3610811818320050724","CRAG WFU",NA,"2005",2005-07-24,"205","1451",1,"Lightning",2005-10-15,288,1600,1185,"F",35.09333333,-118.20555556,"5","USFS","CA",NA,NA,NA,"Natural",2005-07-24,2017-07-24,83
"7",NA,"9165","9208","FS-1436048","FED","FS-FIRESTAT","FS","USCAINF","Inyo National Forest","0504","Inyo National Forest","15","INF665","CR7S","GOODALE","CA-BDU-006570","GOODALE","CA3696011828320060626","GOODALE",NA,"2006",2006-06-26,"177","1437",1,"Lightning",2006-06-30,181,800,3747.1,"F",36.97638889,-118.26444444,"14","MISSING/NOT SPECIFIED","CA","27","27","Inyo","Natural",2006-06-26,2017-06-26,4
"8",NA,"9332","9376","FS-1436358","FED","FS-FIRESTAT","FS","USNVHTF","Humboldt-Toiyabe National Forest","0417","Humboldt-Toiyabe National Forest","37","D2-09-2006","CZA6","JACKASS","NV-HTF-1365","JACKASS","NV3859211937620060717","JACKASS",NA,"2006",2006-07-17,"198","1615",1,"Lightning",2006-07-21,202,1800,6255,"G",38.55166667,-119.35944444,"5","USFS","CA","51","51","Mono","Natural",2006-07-17,2017-07-17,4
"9",NA,"9957","10003","FS-1437317","FED","FS-FIRESTAT","FS","USCAKNF","Klamath National Forest","0505","Klamath National Forest","59","11","C04X","RUSH","CA-KNF-003497","Uncles Complex","CA4109112300620060724","RUSH","UNCLES COMPLEX","2006",2006-07-24,"205","1316",1,"Lightning",2006-11-13,317,1800,4850,"F",41.10333333,-123.03666667,"5","USFS","CA","93","93","Siskiyou","Natural",2006-07-24,2017-07-24,112
"10",NA,"10419","10467","FS-1437913","FED","FS-FIRESTAT","FS","USCALPF","Los Padres National Forest","0507","Los Padres National Forest","39","039","C0QH","RIDGE","CA-LPF-001440","Ridge","CA3491311929720060722","RIDGE","MT. PINOS LIGHTNING COMPLEX","2006",2006-07-22,"203","1530",1,"Lightning",2006-07-31,212,2000,2418,"F",34.90083333,-119.27944444,"5","USFS","CA","29","29","Kern","Natural",2006-07-22,2017-07-22,9
